Date,Open,High,Low,Close,Adj Close,Volume,year,month,day,MarketCap,Parameter1,Parameter2,Parameter3,ReturnClose
2000-05-03,1446.290039,1446.290039,1398.359985,1415.099976,1415.099976,991600000,2000,5,3,1434141202672.4,-0.014956554401498345,-0.021565565798659314,-0.019673751853682697,-0.021565565798659314
2000-05-04,1415.099976,1420.98999,1404.939941,1409.569946,1409.569946,925800000,2000,5,4,1310099557780.8,-0.021565565798659314,-0.003907872301454951,-0.06635740217829766,-0.003907872301454951
2000-05-05,1409.569946,1436.030029,1405.079956,1432.630005,1432.630005,805500000,2000,5,5,1135408591503.0,-0.003907872301454951,0.016359641510120593,-0.12994167206740115,0.016359641510120593
2000-05-08,1432.630005,1432.630005,1417.050049,1424.170044,1424.170044,787600000,2000,5,8,1128339391938.0,0.016359641510120593,-0.005905196017446213,-0.022222222222222254,-0.005905196017446213
2000-05-09,1424.170044,1430.280029,1401.849976,1412.140015,1412.140015,896600000,2000,5,9,1276910861450.4,-0.005905196017446213,-0.008447045386667296,0.13839512442864388,-0.008447045386667296
2000-05-10,1412.140015,1412.140015,1375.140015,1383.050049,1383.050049,1006400000,2000,5,10,1421177711096.0,-0.008447045386667296,-0.020599916220064074,0.12246263662725854,-0.020599916220064074
2000-05-11,1383.050049,1410.26001,1383.050049,1407.810059,1407.810059,953600000,2000,5,11,1318876526726.4,-0.020599916220064074,0.01790246854616906,-0.05246422893481717,0.01790246854616906
2000-05-12,1407.810059,1430.130005,1407.810059,1420.959961,1420.959961,858200000,2000,5,12,1208182592633.7998,0.01790246854616906,0.009340679103643224,-0.10004194630872487,0.009340679103643224
2000-05-15,1420.959961,1452.390015,1416.540039,1452.359985,1452.359985,854600000,2000,5,15,1214352382670.6,0.009340679103643224,0.02209775423784799,-0.004194826380797045,0.02209775423784799
2000-05-16,1452.359985,1470.400024,1450.76001,1466.040039,1466.040039,955500000,2000,5,16,1387729965667.5,0.02209775423784799,0.009419189554440877,0.11806693189796391,0.009419189554440877
2000-05-17,1466.040039,1466.040039,1441.670044,1447.800049,1447.800049,820500000,2000,5,17,1202885851999.5,0.009419189554440877,-0.012441672474676535,-0.14128728414442704,-0.012441672474676535
2000-05-18,1447.800049,1458.040039,1436.589966,1437.209961,1437.209961,807900000,2000,5,18,1169677659587.0999,-0.012441672474676535,-0.007314606742356844,-0.015356489945155372,-0.007314606742356844
2000-05-19,1437.209961,1437.209961,1401.73999,1406.949951,1406.949951,853700000,2000,5,19,1226946143705.7,-0.007314606742356844,-0.021054689865178222,0.056690184428765944,-0.021054689865178222
2000-05-22,1406.949951,1410.550049,1368.72998,1400.719971,1400.719971,869000000,2000,5,22,1222639507419.0,-0.021054689865178222,-0.0044280039923041414,0.01792198664636291,-0.0044280039923041414
2000-05-23,1400.719971,1403.77002,1373.430054,1373.859985,1373.859985,869900000,2000,5,23,1218486302772.9,-0.0044280039923041414,-0.019175842820905897,0.0010356731875720282,-0.019175842820905897
2000-05-24,1373.859985,1401.75,1361.089966,1399.050049,1399.050049,1152300000,2000,5,24,1583098860715.5,-0.019175842820905897,0.01833524833318423,0.3246350155190252,0.01833524833318423
2000-05-25,1399.050049,1411.650024,1373.930054,1381.52002,1381.52002,984500000,2000,5,25,1377364773240.5,0.01833524833318423,-0.01252995131412915,-0.14562179987850388,-0.01252995131412915
2000-05-26,1381.52002,1391.420044,1369.75,1378.02002,1378.02002,722600000,2000,5,26,998286366452.0,-0.01252995131412915,-0.0025334413901580977,-0.2660233621127476,-0.0025334413901580977
2000-05-30,1378.02002,1422.449951,1378.02002,1422.449951,1422.449951,844200000,2000,5,30,1163324500884.0,-0.0025334413901580977,0.032241861769178204,0.16828120675339053,0.032241861769178204
2000-05-31,1422.439941,1434.48999,1415.5,1420.599976,1420.599976,960500000,2000,5,31,1366253563330.5,0.03223459772376902,-0.0012935273729073327,0.13776356313669758,-0.0013005554246035
2000-06-01,1420.599976,1448.810059,1420.599976,1448.810059,1448.810059,960100000,2000,6,1,1363918036957.5999,-0.0012935273729073327,0.019857865322109536,-0.00041644976574706227,0.019857865322109536
2000-06-02,1448.810059,1483.22998,1448.810059,1477.26001,1477.26001,1162400000,2000,6,2,1684096812581.5999,0.019857865322109536,0.019636770757677446,0.21070721799812508,0.019636770757677446
2000-06-05,1477.26001,1477.280029,1464.680054,1467.630005,1467.630005,838600000,2000,6,5,1238830244386.0,0.019636770757677446,-0.00651882873347398,-0.27856159669649005,-0.00651882873347398
2000-06-06,1467.630005,1471.359985,1454.73999,1457.839966,1457.839966,950100000,2000,6,6,1394395267750.5,-0.00651882873347398,-0.006670645167138001,0.1329596947293108,-0.006670645167138001
2000-06-07,1457.839966,1474.640015,1455.060059,1471.359985,1471.359985,854600000,2000,6,7,1245870034943.6,-0.006670645167138001,0.00927400765194819,-0.10051573518576995,0.00927400765194819
2000-06-08,1471.359985,1475.650024,1456.48999,1461.670044,1461.670044,854300000,2000,6,8,1256982835185.5,0.00927400765194819,-0.0065857037698358045,-0.00035104142288788776,-0.0065857037698358045
2000-06-09,1461.670044,1472.670044,1454.959961,1456.949951,1456.949951,786000000,2000,6,9,1148872654584.0,-0.0065857037698358045,-0.003229246586379353,-0.0799484958445511,-0.003229246586379353
2000-06-12,1456.949951,1462.930054,1445.98999,1446.0,1446.0,774100000,2000,6,12,1127824957069.1,-0.003229246586379353,-0.007515667228297329,-0.015139949109414741,-0.007515667228297329
2000-06-13,1446.0,1470.420044,1442.380005,1469.439941,1469.439941,935900000,2000,6,13,1353311400000.0,-0.007515667228297329,0.016210194329183913,0.20901692287818108,0.016210194329183913
2000-06-14,1469.439941,1483.619995,1467.709961,1470.540039,1470.540039,929700000,2000,6,14,1366138313147.7002,0.016210194329183913,0.0007486512169059267,-0.006624639384549602,0.0007486512169059267
2000-06-15,1470.540039,1482.040039,1464.619995,1478.72998,1478.72998,1011400000,2000,6,15,1487304195444.6,0.0007486512169059267,0.005569342406732014,0.08787781004625139,0.005569342406732014
2000-06-16,1478.72998,1480.77002,1460.420044,1464.459961,1464.459961,1250800000,2000,6,16,1849595458984.0,0.005569342406732014,-0.009650185762785424,0.2367016017401622,-0.009650185762785424
2000-06-19,1464.459961,1488.930054,1459.050049,1486.0,1486.0,921700000,2000,6,19,1349792746053.7,-0.009650185762785424,0.01470852025567937,-0.26311160857051485,0.01470852025567937
2000-06-20,1486.0,1487.319946,1470.180054,1475.949951,1475.949951,1031500000,2000,6,20,1532809000000.0,0.01470852025567937,-0.006763155450874803,0.1191276988174026,-0.006763155450874803
2000-06-21,1475.949951,1482.189941,1468.0,1479.130005,1479.130005,1009600000,2000,6,21,1490119070529.6,-0.006763155450874803,0.0021545811887764277,-0.02123121667474548,0.0021545811887764277
2000-06-22,1479.130005,1479.130005,1448.030029,1452.180054,1452.180054,1022700000,2000,6,22,1512706256113.5,0.0021545811887764277,-0.01822013677560419,0.012975435816164893,-0.01822013677560419
2000-06-23,1452.180054,1459.939941,1438.310059,1441.47998,1441.47998,847600000,2000,6,23,1230867813770.4,-0.01822013677560419,-0.007368283272123688,-0.171213454581011,-0.007368283272123688
2000-06-26,1441.47998,1459.660034,1441.47998,1455.310059,1455.310059,889000000,2000,6,26,1281475702220.0,-0.007368283272123688,0.009594360790220469,0.04884379424256724,0.009594360790220469
2000-06-27,1455.310059,1463.349976,1450.550049,1450.550049,1450.550049,1042500000,2000,6,27,1517160736507.5,0.009594360790220469,-0.003270787534630726,0.172665916760405,-0.003270787534630726
2000-06-28,1450.550049,1467.630005,1450.550049,1454.819946,1454.819946,1095100000,2000,6,28,1588497358659.9,-0.003270787534630726,0.002943639899184225,0.05045563549160681,0.002943639899184225
2000-06-29,1454.819946,1455.140015,1434.630005,1442.390015,1442.390015,1110900000,2000,6,29,1616159478011.4001,0.002943639899184225,-0.008543965206262105,0.014427906127294277,-0.008543965206262105
2000-06-30,1442.390015,1454.680054,1438.709961,1454.599976,1454.599976,1459700000,2000,6,30,2105456704895.5,-0.008543965206262105,0.008465089797505376,0.3139796561346655,0.008465089797505376
2000-07-03,1454.599976,1469.579956,1450.849976,1469.540039,1469.540039,451900000,2000,7,3,657333729154.4,0.008465089797505376,0.010270908322907779,-0.6904158388710009,0.010270908322907779
